Gene Name,Solyc ID,Solyc_clean,Function/Family,Description,Notes,Original_Solyc_ID,Signature_Class,Confidence,Source_Table,Marker_Aliases,Marker_Category,Priority,Evidence_for_marker_use,Reference_source,ID_Status,Merge_Status,Additional_Notes,Original_Gene_Symbol,Ambiguity_Group,Ambiguity_Version,Panel_Tags
SlTPS12 version A,Solyc06g059930,Solyc06g059930,sesquiterpene_synthase,Type VI,Published ID conflict; keep as provisional and verify before strong claims. || ID-source chunk: Solyc06g059930 in Brand-Duran 2024 || Beta-caryophyllene/alpha-humulene synthase marker; regulated by SlMYC1; useful for leaf/stem type VI terpene-state contrast,Solyc06g059930 in Brand-Duran 2024; conflicts with TPS9 ID in Zocca 2025,Type_VI_like_metabolic,medium_high,updated_all_marker_table,,sesquiterpene_synthase,Medium_high,Beta-caryophyllene/alpha-humulene synthase marker; regulated by SlMYC1; useful for leaf/stem type VI terpene-state contrast,Xu et al. 2018; Brand-Duran 2024,conflict_check_required,new_updated_all_table,"Published ID conflict; keep as provisional and verify before strong claims. || ID-source chunk: Solyc06g059930 in Brand-Duran 2024 || Shared Solyc ID with other table rows: SlTPS12 version A, SlTPS9, SlTPS9 version A, TPS12. Treat aliases/conflicts cautiously.",SlTPS12,SlTPS12,A,
SlTPS16,Solyc07g008690,Solyc07g008690,sesquiterpene_synthase,Type VI,Sesquiterpene synthase reduced in glandless isolated stem trichomes,Solyc07g008690,Type_VI_like_metabolic,medium,updated_all_marker_table,,sesquiterpene_synthase,Medium,Sesquiterpene synthase reduced in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Sesquiterpene synthase reduced in glandless isolated stem trichomes,SlTPS16,,,
SlTPS17,Solyc12g006570,Solyc12g006570,sesquiterpene_synthase,Type VI,Valencene/bisabolene synthase; reduced in glandless leaves and isolated stem trichomes; SlMYC1-responsive,Solyc12g006570,Type_VI_like_metabolic,medium,updated_all_marker_table,,sesquiterpene_synthase,Medium,Valencene/bisabolene synthase; reduced in glandless leaves and isolated stem trichomes; SlMYC1-responsive,Zocca et al. 2025; Xu et al. 2018,confirmed,new_updated_all_table,Valencene/bisabolene synthase; reduced in glandless leaves and isolated stem trichomes; SlMYC1-responsive,SlTPS17,,,
SlTPS18,Solyc08g005720,Solyc08g005720,terpene_synthase,Type VI,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,Solyc08g005720,Type_VI_like_metabolic,medium,updated_all_marker_table,,terpene_synthase,Medium,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,SlTPS18,,,
SlTPS20,Solyc08g005665,Solyc08g005665,monoterpene_synthase,Type VI,Type VI terpene marker; targeted in type-VI CRISPR-TSKO proof-of-concept; qRT-PCR marker in Brand-Duran,Solyc08g005665,Type_VI_like_metabolic,high,updated_all_marker_table,,monoterpene_synthase,High,Type VI terpene marker; targeted in type-VI CRISPR-TSKO proof-of-concept; qRT-PCR marker in Brand-Duran,Brand-Duran 2024; Xu et al. 2018,confirmed,new_updated_all_table,Type VI terpene marker; targeted in type-VI CRISPR-TSKO proof-of-concept; qRT-PCR marker in Brand-Duran,SlTPS20,,,
SlTPS21,Solyc08g005640,Solyc08g005640,terpene_synthase,Type VI,Plastidic terpene synthase; reduced in glandless isolated stem trichomes,Solyc08g005640,Type_VI_like_metabolic,medium,updated_all_marker_table,,terpene_synthase,Medium,Plastidic terpene synthase; reduced in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,"Plastidic terpene synthase; reduced in glandless isolated stem trichomes || Shared Solyc ID with other table rows: PHS1 / TPS20, SlTPS21. Treat aliases/conflicts cautiously.",SlTPS21,,,
SlTPS31,Solyc01g101170,Solyc01g101170,sesquiterpene_synthase,Type VI,Viridiflorene synthase; reduced in glandless isolated stem trichomes; SlMYC1-responsive,Solyc01g101170,Type_VI_like_metabolic,medium,updated_all_marker_table,,sesquiterpene_synthase,Medium,Viridiflorene synthase; reduced in glandless isolated stem trichomes; SlMYC1-responsive,Zocca et al. 2025; Xu et al. 2018,confirmed,new_updated_all_table,Viridiflorene synthase; reduced in glandless isolated stem trichomes; SlMYC1-responsive,SlTPS31,,,
SlTPS35,Solyc01g101210,Solyc01g101210,terpene_synthase,Type VI,Cytosolic terpene synthase; reduced in glandless isolated stem trichomes,Solyc01g101210,Type_VI_like_metabolic,medium_low,updated_all_marker_table,,terpene_synthase,Medium_low,Cytosolic terpene synthase; reduced in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Cytosolic terpene synthase; reduced in glandless isolated stem trichomes,SlTPS35,,,
SlTPS39,Solyc10g005390,Solyc10g005390,monoterpene_synthase,Type VI,Linalool/nerolidol synthase; reduced in glandless leaves and isolated stem trichomes,Solyc10g005390,Type_VI_like_metabolic,medium,updated_all_marker_table,,monoterpene_synthase,Medium,Linalool/nerolidol synthase; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025; Xu et al. 2018,confirmed,new_updated_all_table,Linalool/nerolidol synthase; reduced in glandless leaves and isolated stem trichomes,SlTPS39,,,
SlTPS41,Solyc08g005710,Solyc08g005710,terpene_synthase,Type VI,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,Solyc08g005710,Type_VI_like_metabolic,medium,updated_all_marker_table,,terpene_synthase,Medium,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Mitochondrial terpene synthase; reduced in glandless leaves and isolated stem trichomes,SlTPS41,,,
SlTPS46,Solyc03g006550,Solyc03g006550,terpene_synthase,Type VI,Putative geranyllinalool synthase; reduced in glandless leaves,Solyc03g006550,Type_VI_like_metabolic,medium_low,updated_all_marker_table,,terpene_synthase,Medium_low,Putative geranyllinalool synthase; reduced in glandless leaves,Zocca et al. 2025,confirmed,new_updated_all_table,Putative geranyllinalool synthase; reduced in glandless leaves,SlTPS46,,,
SlTPS5,Solyc01g105890,Solyc01g105890,monoterpene_synthase/promoter_marker,Type VI,Linalool synthase; type VI glandular trichome-specific expression/promoter; reduced in glandless isolated stem trichomes,Solyc01g105890,Type_VI_like_metabolic,high,updated_all_marker_table,,monoterpene_synthase/promoter_marker,High,Linalool synthase; type VI glandular trichome-specific expression/promoter; reduced in glandless isolated stem trichomes,Xu et al. 2018; Kortbeek et al. 2016; Zocca et al. 2025,confirmed,new_updated_all_table,Linalool synthase; type VI glandular trichome-specific expression/promoter; reduced in glandless isolated stem trichomes,SlTPS5,,,
SlTPS7,Solyc01g105920,Solyc01g105920,monoterpene_synthase,Type VI,Beta-myrcene/limonene synthase; reduced in glandless isolated stem trichomes,Solyc01g105920,Type_VI_like_metabolic,medium_low,updated_all_marker_table,,monoterpene_synthase,Medium_low,Beta-myrcene/limonene synthase; reduced in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Beta-myrcene/limonene synthase; reduced in glandless isolated stem trichomes,SlTPS7,,,
SlTPS9,Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024,Solyc06g059930,sesquiterpene_synthase/promoter_marker,Type VI,Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,,Type_VI_like_support,high,marker_signature_table,,sesquiterpene_synthase/promoter_marker,High,Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024,conflict_check_required,new_from_marker_table,"reference: Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024 || id_status: conflict_check_required || Shared Solyc ID with other table rows: SlTPS12 version A, SlTPS9, SlTPS9 version A, TPS12. Treat aliases/conflicts cautiously.",SlTPS9,,,
SlTPS9 version A,Solyc06g059930,Solyc06g059930,sesquiterpene_synthase/promoter_marker,Type VI,Ambiguous/multiple ID row split into version A; original ID field: Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024 || Published ID conflict; keep as provisional and verify before strong claims. || ID-source chunk: Solyc06g059930 in Zocca 2025 || Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024,Type_VI_like_metabolic,high,updated_all_marker_table,,sesquiterpene_synthase/promoter_marker,High,Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024,conflict_check_required,new_updated_all_table,"Ambiguous/multiple ID row split into version A; original ID field: Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024 || Published ID conflict; keep as provisional and verify before strong claims. || Shared Solyc ID with other table rows: SlTPS12 version A, SlTPS9, SlTPS9 version A, TPS12. Treat aliases/conflicts cautiously.",SlTPS9,SlTPS9,A,
SlTPS9 version B,Solyc06g059885,Solyc06g059885,sesquiterpene_synthase/promoter_marker,Type VI,Ambiguous/multiple ID row split into version B; original ID field: Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024 || Published ID conflict; keep as provisional and verify before strong claims. || ID-source chunk: Solyc06g059885 in Brand-Duran 2024 || Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024,Type_VI_like_metabolic,high,updated_all_marker_table,,sesquiterpene_synthase/promoter_marker,High,Type VI glandular trichome-specific TPS marker; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025; Xu et al. 2018; Brand-Duran 2024,conflict_check_required,new_updated_all_table,"Ambiguous/multiple ID row split into version B; original ID field: Solyc06g059930 in Zocca 2025; Solyc06g059885 in Brand-Duran 2024 || Published ID conflict; keep as provisional and verify before strong claims. || Shared Solyc ID with other table rows: SlTPS9 version B, TPS9. Treat aliases/conflicts cautiously.",SlTPS9,SlTPS9,B,
SlTRY,Solyc01g095640,Solyc01g095640,R3_MYB_repressor,Broad_trichome_development,Listed as characterized trichome development gene; likely inhibitory/patterning control marker,Solyc01g095640,General_trichome_development,low,updated_all_marker_table,,R3_MYB_repressor,Low,Listed as characterized trichome development gene; likely inhibitory/patterning control marker,Galdon-Armero 2018,confirmed,new_updated_all_table,Listed as characterized trichome development gene; likely inhibitory/patterning control marker,SlTRY,,,
SlWOX3b,Solyc11g072790,Solyc11g072790,Trichome morphogenesis / Wo-BRC2a module,WOX3b trichome morphogenesis factor,Downstream of SlWO; promotes hairy/digitate trichome development; upregulated in glandless isolated stem trichomes || Wo downstream morphogenesis marker; useful for committed trichome developmental state.,Solyc11g072790,Wo_BRC2a_morphogenesis_panel,high,literature_expansion,SlWOX3b; WOX3b canonical; Solyc11g072790,wo_brc2a_morphogenesis_panel,High,Downstream of SlWO; promotes hairy/digitate trichome development; upregulated in glandless isolated stem trichomes || Wo downstream morphogenesis marker; useful for committed trichome developmental state.,Zocca et al. 2025 || Wu 2024 Developmental Cell; Tian 2020 atlas context,confirmed_from_literature,literature_expanded,Downstream of SlWO; promotes hairy/digitate trichome development; upregulated in glandless isolated stem trichomes,,SlWOX3b,A,wo_brc2a_morphogenesis_panel
SlWRKY33,Solyc09g014990,Solyc09g014990,WRKY Transcription Factor,Cross-talk between heat and biotic stress,,,,,curated_base,,,,,,,base_row,,,,,
SlWOX3b version B (verify),Solyc05g005180,Solyc05g005180,Trichome morphogenesis / Wo-BRC2a module,WOX3b trichome morphogenesis factor,Wo downstream morphogenesis marker; useful for committed trichome developmental state.,,Candidate_marker_uncategorized,low,literature_expansion,SlWox3B; Solyc05g005180,wo_brc2a_morphogenesis_panel,High,Wo downstream morphogenesis marker; useful for committed trichome developmental state.,Wu 2024 Developmental Cell; Tian 2020 atlas context,verify_id_from_previous_table,literature_expanded, || Retained as previous-table ambiguous version B; do not treat as canonical SlWOX3b without verification.,,SlWOX3b,B,
SlZFP6,Solyc09g092410,Solyc09g092410,C2H2 Zinc Finger Protein,Involved in trichome initiation,,,,,curated_base,,,,,,,base_row,,,,,
SlZFP8-like,Solyc10g008940,Solyc10g008940,C2H2 Zinc Finger Protein,Regulates trichome density,,,,,curated_base,,,,,,,base_row,,,,,
SlySBP10,Solyc05g015510,Solyc05g015510,SBP/SPL_transcription_factor,miR156_SPL_phase_change_trichome_timing,Tomato homolog candidate for the AtSPL2/10/11 branch; AtSPL10 is one of the miR156-targeted SPLs tested in Arabidopsis trichome repression assays and participates in adult vegetative phase regulation,Solyc05g015510,General_trichome_development,high,updated_all_marker_table,,SBP/SPL_transcription_factor,High,Tomato homolog candidate for the AtSPL2/10/11 branch; AtSPL10 is one of the miR156-targeted SPLs tested in Arabidopsis trichome repression assays and participates in adult vegetative phase regulation,Yu et al. 2010; Wu et al. 2009; Poethig and Fouracre 2024; Silva et al. 2014; Zhang et al. 2015,confirmed,new_updated_all_table,Tomato homolog candidate for the AtSPL2/10/11 branch; AtSPL10 is one of the miR156-targeted SPLs tested in Arabidopsis trichome repression assays and participates in adult vegetative phase regulation,SlySBP10,,,
SlySBP13,Solyc05g015840,Solyc05g015840,SBP/SPL_transcription_factor,miR156_SPL_phase_change_trichome_timing,Tomato candidate for the AtSPL6/SPL13 branch; AtSPL13 was one of the miR156-targeted SPLs tested in Arabidopsis stem trichome repression assays; good broader SPL phase-state marker,Solyc05g015840,General_trichome_development,medium_high,updated_all_marker_table,,SBP/SPL_transcription_factor,Medium_high,Tomato candidate for the AtSPL6/SPL13 branch; AtSPL13 was one of the miR156-targeted SPLs tested in Arabidopsis stem trichome repression assays; good broader SPL phase-state marker,Yu et al. 2010; Poethig and Fouracre 2024; Silva et al. 2014; Zhang et al. 2015,confirmed,new_updated_all_table,Tomato candidate for the AtSPL6/SPL13 branch; AtSPL13 was one of the miR156-targeted SPLs tested in Arabidopsis stem trichome repression assays; good broader SPL phase-state marker,SlySBP13,,,phase_change_ap2_spl_panel
SlySBP15,Solyc10g078700,Solyc10g078700,SBP/SPL_transcription_factor,miR156_SPL_phase_change_trichome_timing,Best tomato candidate for the Arabidopsis SPL9/SPL15 adult-phase module; AtSPL9 promotes adult vegetative traits and links miR156 decline to miR172/TCL1/TRY-mediated trichome timing; use as primary tomato SPL marker for phase-dependent trichome regulation,Solyc10g078700,General_trichome_development,high,updated_all_marker_table,,SBP/SPL_transcription_factor,High,Best tomato candidate for the Arabidopsis SPL9/SPL15 adult-phase module; AtSPL9 promotes adult vegetative traits and links miR156 decline to miR172/TCL1/TRY-mediated trichome timing; use as primary tomato SPL marker for phase-dependent trichome regulation,Yu et al. 2010; Wu et al. 2009; Poethig and Fouracre 2024; Silva et al. 2014; Zhang et al. 2015,confirmed,new_updated_all_table,Best tomato candidate for the Arabidopsis SPL9/SPL15 adult-phase module; AtSPL9 promotes adult vegetative traits and links miR156 decline to miR172/TCL1/TRY-mediated trichome timing; use as primary tomato SPL marker for phase-dependent trichome regulation,SlySBP15,,,phase_change_ap2_spl_panel
SlySBP2,Solyc04g045560,Solyc04g045560,SBP/SPL_transcription_factor,miR156_SPL_phase_change_trichome_timing,Second tomato candidate in the AtSPL2/10/11-like branch; useful together with SlySBP10 to test whether SPL10-like tomato genes correlate with epidermal/trichome phase state,Solyc04g045560,General_trichome_development,medium_high,updated_all_marker_table,,SBP/SPL_transcription_factor,Medium_high,Second tomato candidate in the AtSPL2/10/11-like branch; useful together with SlySBP10 to test whether SPL10-like tomato genes correlate with epidermal/trichome phase state,Yu et al. 2010; Wu et al. 2009; Poethig and Fouracre 2024; Silva et al. 2014; Zhang et al. 2015,confirmed,new_updated_all_table,Second tomato candidate in the AtSPL2/10/11-like branch; useful together with SlySBP10 to test whether SPL10-like tomato genes correlate with epidermal/trichome phase state,SlySBP2,,,
SlySBP3,Solyc10g009080,Solyc10g009080,SBP/SPL_transcription_factor,miR156_SPL_developmental_timing_context,Tomato SBP gene expressed in reproductive/meristematic tissues; include as secondary AtSPL3/4/5-like candidate only if expression supports relevance in epidermis or trichome datasets,Solyc10g009080,General_trichome_development,medium,updated_all_marker_table,,SBP/SPL_transcription_factor,Medium,Tomato SBP gene expressed in reproductive/meristematic tissues; include as secondary AtSPL3/4/5-like candidate only if expression supports relevance in epidermis or trichome datasets,Silva et al. 2014; Zhang et al. 2015; Poethig and Fouracre 2024,confirmed,new_updated_all_table,Tomato SBP gene expressed in reproductive/meristematic tissues; include as secondary AtSPL3/4/5-like candidate only if expression supports relevance in epidermis or trichome datasets,SlySBP3,,,phase_change_ap2_spl_panel
SlySBP4,Solyc07g053810,Solyc07g053810,SBP/SPL_transcription_factor,miR156_SPL_developmental_timing_context,Tomato SBP gene in the SPL3/4/5-like candidate set; lower priority for trichome work unless enriched in epidermis/trichome or heat/juvenility contrasts,Solyc07g053810,General_trichome_development,medium_low,updated_all_marker_table,,SBP/SPL_transcription_factor,Medium_low,Tomato SBP gene in the SPL3/4/5-like candidate set; lower priority for trichome work unless enriched in epidermis/trichome or heat/juvenility contrasts,Wu and Poethig 2006; Poethig and Fouracre 2024; Zhang et al. 2015,confirmed,new_updated_all_table,Tomato SBP gene in the SPL3/4/5-like candidate set; lower priority for trichome work unless enriched in epidermis/trichome or heat/juvenility contrasts,SlySBP4,,,
SlySBP6a,Solyc03g114850,Solyc03g114850,SBP/SPL_transcription_factor,miR156_SPL_context_marker,"Optional miR156/SBP context marker; AtSPL6 function in trichome timing is unclear, so this should not be prioritized unless tomato expression data supports it",Solyc03g114850,General_trichome_development,low,updated_all_marker_table,,SBP/SPL_transcription_factor,Low,"Optional miR156/SBP context marker; AtSPL6 function in trichome timing is unclear, so this should not be prioritized unless tomato expression data supports it",Poethig and Fouracre 2024; Silva et al. 2014; Zhang et al. 2015,confirmed,new_updated_all_table,"Optional miR156/SBP context marker; AtSPL6 function in trichome timing is unclear, so this should not be prioritized unless tomato expression data supports it",SlySBP6a,,,phase_change_ap2_spl_panel
SlySBP6b,Solyc05g012040,Solyc05g012040,SBP/SPL_transcription_factor,miR156_SPL_context_marker,Optional miR156/SBP context marker and tomato miR156/157 target; useful as background SPL-module readout but not a primary trichome candidate,Solyc05g012040,General_trichome_development,low,updated_all_marker_table,,SBP/SPL_transcription_factor,Low,Optional miR156/SBP context marker and tomato miR156/157 target; useful as background SPL-module readout but not a primary trichome candidate,Silva et al. 2014; Karlova et al. 2013; Zhang et al. 2015,confirmed,new_updated_all_table,Optional miR156/SBP context marker and tomato miR156/157 target; useful as background SPL-module readout but not a primary trichome candidate,SlySBP6b,,,phase_change_ap2_spl_panel
SlySBP6c,Solyc12g038520,Solyc12g038520,SBP/SPL_transcription_factor,miR156_SPL_context_marker,Optional SBP/SPL family context marker; include only for completeness or if expression data suggests epidermal/trichome relevance,Solyc12g038520,General_trichome_development,low,updated_all_marker_table,,SBP/SPL_transcription_factor,Low,Optional SBP/SPL family context marker; include only for completeness or if expression data suggests epidermal/trichome relevance,Poethig and Fouracre 2024; Zhang et al. 2015,confirmed,new_updated_all_table,Optional SBP/SPL family context marker; include only for completeness or if expression data suggests epidermal/trichome relevance,SlySBP6c,,,
TKN2,Solyc02g081120,Solyc02g081120,KNOTTED1-like homeobox,Affects leaf morphology and trichome patterning,,,,,curated_base,,,,,,,base_row,,,,,
TPS12,Solyc06g059930,Solyc06g059930,Terpene Synthase 12,Sesquiterpene biosynthesis,,,Type_VI_like_support,medium,curated_base + marker_signature_table,SlTPS12,sesquiterpene_synthase,Medium_high,Beta-caryophyllene/alpha-humulene synthase marker; regulated by SlMYC1; useful for leaf/stem type VI terpene-state contrast,Xu et al. 2018; Brand-Duran 2024,conflict_check_required,overlap_merged,"signature: Type VI || marker_category: sesquiterpene_synthase || priority: Medium_high || evidence: Beta-caryophyllene/alpha-humulene synthase marker; regulated by SlMYC1; useful for leaf/stem type VI terpene-state contrast || reference: Xu et al. 2018; Brand-Duran 2024 || id_status: conflict_check_required || Shared Solyc ID with other table rows: SlTPS12 version A, SlTPS9, SlTPS9 version A, TPS12. Treat aliases/conflicts cautiously.",,,,
TPS20,Solyc01g105950,Solyc01g105950,Terpene Synthase 20,Monoterpene biosynthesis (major in trichomes),,,,,curated_base,,,,,,,base_row,,,,,
TPS9,Solyc06g059885,Solyc06g059885,Terpene Synthase 9,Sesquiterpene biosynthesis,Curated literature-backed Solyc ID updated,Solyc01g105880,Type_VI_like_support,medium,curated_base,,,,,,,base_row,"Shared Solyc ID with other table rows: SlTPS9 version B, TPS9. Treat aliases/conflicts cautiously.",,,,
WOOLLY / Wo,Solyc02g080260,Solyc02g080260,Trichome morphogenesis / Wo-BRC2a module,HD-Zip IV master regulator of trichome initiation and morphogenesis,Wo dosage/gradient controls apical cell division and basal expansion in multicellular trichomes.,,Wo_BRC2a_morphogenesis_panel,high,literature_expansion,Woolly/SlWO || WOOLLY / Wo,wo_brc2a_morphogenesis_panel,High,"Master regulator of multiple trichome types including type VI; interacts with SlMYC1; useful developmental control marker, not type-specific || Wo dosage/gradient controls apical cell division and basal expansion in multicellular trichomes.",Zocca et al. 2025; Galdon-Armero 2018 || Wu 2024 Developmental Cell; Tian 2020 atlas context,confirmed_from_literature,literature_expanded,"signature: Broad_trichome_development || marker_category: HD-ZIP_IV_TF || priority: Medium || evidence: Master regulator of multiple trichome types including type VI; interacts with SlMYC1; useful developmental control marker, not type-specific || reference: Zocca et al. 2025; Galdon-Armero 2018 || id_status: confirmed || Shared Solyc ID with other table rows: WOOLLY / Wo, Woolly/SlWO. Treat aliases/conflicts cautiously.",,,,wo_brc2a_morphogenesis_panel
Woolly/SlWO,Solyc02g080260,Solyc02g080260,HD-ZIP_IV_TF,Broad_multicellular_trichome_development/type_IV_type_VI_context,"Master regulator of tomato trichome initiation, fate and morphogenesis; dosage controls DT versus PT fate; Wo gradient promotes apical cell division and basal expansion; Get02/Wo strongly increases type-IV trichomes.",Solyc02g080260,General_trichome_development,high,updated_all_marker_table,,HD-ZIP_IV_TF,High,"Master regulator of tomato trichome initiation, fate and morphogenesis; dosage controls DT versus PT fate; Wo gradient promotes apical cell division and basal expansion; Get02/Wo strongly increases type-IV trichomes.",Wu et al. 2023; Wu et al. 2024; Vendemiatti et al. 2024; Zocca et al. 2025; Galdon-Armero 2018,confirmed,new_updated_all_table,"Master regulator of tomato trichome initiation, fate and morphogenesis; dosage controls DT versus PT fate; Wo gradient promotes apical cell division and basal expansion; Get02/Wo strongly increases type-IV trichomes. || Shared Solyc ID with other table rows: WOOLLY / Wo, Woolly/SlWO. Treat aliases/conflicts cautiously.",Woolly/SlWO,,,wo_brc2a_morphogenesis_panel
SlLFS / LEAFLESS,Solyc05g013540,Solyc05g013540,AP2/ERF transcription factor,LEAFLESS; developmental-metabolic bridge regulating gland formation and acylsugar/flavonoid specialized metabolism,Canonical row added to avoid relying only on older version-A/version-B aliases.,,LFS_specialized_metabolism_regulator,high,literature_expansion,SlLFS; LEAFLESS; LFS; Solyc05g013540; SpLFS ortholog,LFS_specialized_metabolism_panel,High,"SpLFS VIGS reduced acylsugars and downregulated acylsugar/flavonoid genes; SlLFS ortholog connects leaf initiation, gland development and trichome specialized metabolism.",Mandal 2025 New Phytologist; Chang 2024; Tian 2020 atlas context,confirmed_from_literature,literature_expanded,Use as bridge gene: not simply mature trichome marker; inspect epidermis/incipient primordia/trichome states separately.,SlLFS / LEAFLESS,,,gland_fate_switch_panel; phase_change_ap2_spl_panel; lfs_specialized_metabolism_panel
SlTPL4,Solyc03g116750,Solyc03g116750,TOPLESS co-repressor,Potential co-repressor partner in GCR/TOE gland-fate switch,Added from Chang-style gland-fate model; verify ID and expression before strong claims.,,GCR_TOE_LFS_gland_fate_switch,low,literature_expansion,SlTPL4,gland_fate_switch_panel,Medium,Added from Chang-style gland-fate model; verify ID and expression before strong claims.,Chang 2024 Nature; Mandal 2025 New Phytologist,verify_id_from_literature,literature_expanded,,SlTPL4,,,gland_fate_switch_panel
LFS-target AAE1,Solyc07g043660,Solyc07g043660,Acyl-activating enzyme,LFS-regulated acylsugar candidate; Table 1 ortholog of Sopen07g023220,Downregulated in both SpLFS-VIGS and Sllfs shoot apex mutants; highly trichome-enriched.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target AAE1,lfs_specialized_metabolism_panel,Medium,Downregulated in both SpLFS-VIGS and Sllfs shoot apex mutants; highly trichome-enriched.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target AAE1,,,lfs_specialized_metabolism_panel
LFS-target FAR,Solyc11g067170,Solyc11g067170,Fatty acyl-CoA reductase,LFS-regulated fatty-acid/acylsugar-related candidate,Downregulated in both SpLFS-VIGS and Sllfs mutants; highly trichome-enriched.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target FAR,lfs_specialized_metabolism_panel,Medium,Downregulated in both SpLFS-VIGS and Sllfs mutants; highly trichome-enriched.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target FAR,,,lfs_specialized_metabolism_panel
LFS-target ABC2,Solyc12g100190,Solyc12g100190,ABC transporter,LFS-regulated specialized-metabolite transporter candidate,Downregulated in both SpLFS-VIGS and Sllfs mutants; trichome-enriched.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target ABC2,lfs_specialized_metabolism_panel,Medium,Downregulated in both SpLFS-VIGS and Sllfs mutants; trichome-enriched.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target ABC2,,,lfs_specialized_metabolism_panel
LFS-target AAE2,Solyc02g082870,Solyc02g082870,Acyl-activating enzyme,LFS-regulated acyl-activating enzyme candidate,Promoter binding was tested for Sopen02g027670; Solyc02g082870 ortholog appears in Table 1.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target AAE2,lfs_specialized_metabolism_panel,Medium,Promoter binding was tested for Sopen02g027670; Solyc02g082870 ortholog appears in Table 1.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target AAE2,,,lfs_specialized_metabolism_panel
LFS-target UGT,Solyc11g007480,Solyc11g007480,UDP-glucosyltransferase,LFS-regulated flavonoid/specialized-metabolism candidate,Table 1 candidate with high trichome enrichment.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target UGT,lfs_specialized_metabolism_panel,Medium,Table 1 candidate with high trichome enrichment.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target UGT,,,lfs_specialized_metabolism_panel
LFS-target MYB-like,Solyc05g053330,Solyc05g053330,MYB-like DNA-binding protein,LFS-regulated MYB-like candidate,Table 1 gene; potential specialized-metabolism regulatory/context marker.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target MYB-like,lfs_specialized_metabolism_panel,Medium,Table 1 gene; potential specialized-metabolism regulatory/context marker.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target MYB-like,,,lfs_specialized_metabolism_panel
LFS-target CHS,Solyc09g091510,Solyc09g091510,Chalcone/stilbene synthase,LFS-regulated flavonoid-pathway candidate,Table 1 gene; connects LFS to flavonoid metabolism.,,LFS_specialized_metabolism_target,medium,literature_expansion,LFS-target CHS,lfs_specialized_metabolism_panel,Medium,Table 1 gene; connects LFS to flavonoid metabolism.,Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,,LFS-target CHS,,,lfs_specialized_metabolism_panel
